data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1602872,760,SYR32360,32360,29-Apr-18,2018,1,Violence against civilians,Unidentified Armed Group (Syria),,3,Civilians (Syria),,7,37,Middle East,Syria,Idleb,Ariha,Ariha,Nahleh,35.7831,36.5915,1,SOHR: SOHR_http://www.syriahr.com/en/?p=90744,Other-Local,Unknown gunmen shot and killed 1 person in Nahleh village in Idleb countryside.,1,1525805094,SYR
1602831,760,SYR32319,32319,29-Apr-18,2018,1,Violence against civilians,Military Forces of Turkey (2016-) Gendarmerie,,8,Civilians (Syria),,7,78,Middle East,Syria,Idleb,Harim,Dana,Bab El Hawa,36.2308,36.692,3,SOHR: SOHR_http://www.syriahr.com/en/?p=90731,Other-Local,Turkish border guards killed 1 civilian while he was trying to cross the border illegally from Idleb into Turkey.,1,1525805094,SYR
1599986,760,SYR32297,32297,27-Apr-18,2018,1,Violence against civilians,Unidentified Armed Group (Syria),,3,Civilians (Syria),,7,37,Middle East,Syria,Idleb,Al Ma'ra,Heish,Tah,35.5406,36.7264,1,SOHR: SOHR_http://www.syriahr.com/en/?p=90562,Other-Local,1 person was killed by gunfire in Tah village in the Idleb countryside.,1,1525199016,SYR
1599985,760,SYR32296,32296,27-Apr-18,2018,1,Violence against civilians,Unidentified Armed Group (Syria),,3,Civilians (Syria),,7,37,Middle East,Syria,Idleb,Idleb,Sarmin,Sarmin,35.9037,36.7238,2,SOHR: SOHR_http://www.syriahr.com/en/?p=90562,Other-Local,"Unidentified gunmen targeted a person driving a motorbike on the road near Sarmin in Idleb countryside, injuring the rider seriously. No fatalities reported.",0,1525199016,SYR
1599984,760,SYR32295,32295,26-Apr-18,2018,1,Violence against civilians,Unidentified Armed Group (Syria),,3,Civilians (Syria),,7,37,Middle East,Syria,Idleb,Harim,Dana,Sarmada,36.1866,36.7239,1,SOHR: SOHR_http://www.syriahr.com/en/?p=90562,Other-Local,Unidentified gunmen shot and killed a person in Sarmada town in northern Idleb.,1,1525199016,SYR
1599983,760,SYR32294,32294,26-Apr-18,2018,1,Violence against civilians,Unidentified Armed Group (Syria),,3,Civilians (Syria),,7,37,Middle East,Syria,Idleb,Idleb,Saraqab,Jobas,35.8373,36.7609,1,SOHR: SOHR_http://www.syriahr.com/en/?p=90562,Other-Local,Unidentified gunmen shot and killed a pharmacist in Jobas village in Idleb.,1,1525199016,SYR
1599982,760,SYR32293,32293,26-Apr-18,2018,1,Violence against civilians,Unidentified Armed Group (Syria),,3,Civilians (Syria),,7,37,Middle East,Syria,Aleppo,Afrin,Afrin,Ibbin,36.4659,36.9933,2,SOHR: SOHR_http://www.syriahr.com/en/?p=90562,Other-Local,Unidentified gunmen shot and killed a young man in the Ibbin area of Idleb countryside.,1,1525199016,SYR
1599977,760,SYR32288,32288,25-Apr-18,2018,1,Violence against civilians,Military Forces of Syria (2000-),,1,Civilians (Syria),,7,17,Middle East,Syria,Rural Damascus,At Tall,Sidnaya,Sidnaya Military Prison,33.6653,36.329,3,SOHR: SOHR_http://www.syriahr.com/en/?p=90327,Other-Local,A civilian from the northern countryside of Homs was killed under torture in the Syrian regime prisons.,1,1525199016,SYR
1599975,760,SYR32286,32286,25-Apr-18,2018,1,Violence against civilians,Islamic State (Syria),,2,Military Forces of Syria (2000-),,1,12,Middle East,Syria,Damascus,Damascus,Damascus,Damascus - Al-Qadam,33.4706,36.2891,1,SOHR: SOHR_http://www.syriahr.com/en/?p=90362,Other-Local,The Islamic State executed 2 fighters of the Syrian army in Al-Qadam neighbourhood after they were arrested during the clashes south Damascus.,2,1525199016,SYR
1599988,760,SYR32299,32299,23-Apr-18,2018,1,Violence against civilians,Military Forces of Turkey (2016-) Gendarmerie,,8,Civilians (Syria),,7,78,Middle East,Syria,Idleb,Harim,Dana,Bab El Hawa,36.2308,36.692,1,SOHR: SOHR_ http://www.syriahr.com/en/?p=90124,Other-Local,"A child was killed by Turkish border guards as he, along with his family, attempted to cross into Turkey from Idleb.",1,1525199016,SYR
1599981,760,SYR32292,32292,23-Apr-18,2018,1,Violence against civilians,Islamist Rebels (Syria),,2,Civilians (Syria),,7,27,Middle East,Syria,Idleb,Idleb,Maaret Tamsrin,Kafraya,35.9899,36.6769,1,SOHR: SOHR_ http://www.syriahr.com/en/?p=90115,Other-Local,"Islamic militias snipers fired shots in Kafraya in Idlib, wounding a young man.",0,1525199016,SYR
1599980,760,SYR32291,32291,23-Apr-18,2018,1,Violence against civilians,Opposition Rebels (Syria),,2,Civilians (Syria),,7,27,Middle East,Syria,Dar'a,Dar'a,Busra Esh-Sham,Busra Esh-Sham,32.5146,36.4779,1,SOHR: SOHR_http://www.syriahr.com/en/?p=90142,Other-Local,An unidentified rebel faction executed a man from Sahm al-Sham in a public sqaure in Busra Esh-Sham in Dar'a. The man was accused of killing the faction's commander and cooperating with regime forces.,1,1525199016,SYR
